File	Name	Impl	Kind	Visibility	Safety	doc(hidden)	is_nightly	Safety constraint	Panics section	Examples section	Docs
library/core/src/alloc/layout.rs	Layout::align	impl Layout	method	public	safe	false	false	not applicable	false	false	The minimum byte alignment for a memory block of this layout.  The returned alignment is guaranteed to be a power of two.
library/core/src/alloc/layout.rs	Layout::from_size_align_unchecked	impl Layout	method	public	unsafe	false	false	documented	false	false	Creates a layout, bypassing all checks.  # Safety  This function is unsafe as it does not verify the preconditions from [`Layout::from_size_align`].
library/core/src/alloc/layout.rs	Layout::is_size_align_valid	impl Layout	method	private	safe	false	false	not applicable	false	false	
library/core/src/alloc/layout.rs	Layout::max_size_for_align	impl Layout	method	private	safe	false	false	not applicable	false	false	
library/core/src/alloc/layout.rs	Layout::new	impl Layout	method	public	safe	false	false	not applicable	false	false	Constructs a `Layout` suitable for holding a value of type `T`.
library/core/src/alloc/layout.rs	Layout::size	impl Layout	method	public	safe	false	false	not applicable	false	false	The minimum size in bytes for a memory block of this layout.
library/core/src/alloc/layout.rs	size_align		function	private	safe	false	false	not applicable	false	false	
library/core/src/array/mod.rs	array::as_mut_slice	impl<T, const N: usize> [T; N]	method	public	safe	false	false	not applicable	false	false	Returns a mutable slice containing the entire array. Equivalent to `&mut s[..]`.
library/core/src/array/mod.rs	array::as_slice	impl<T, const N: usize> [T; N]	method	public	safe	false	false	not applicable	false	false	Returns a slice containing the entire array. Equivalent to `&s[..]`.
library/core/src/bool.rs	bool::ok_or	impl bool	method	public	safe	false	false	not applicable	false	true	Returns `Ok(())` if the `bool` is [`true`](../std/keyword.true.html), or `Err(err)` otherwise.  Arguments passed to `ok_or` are eagerly evaluated; if you are passing the result of a function call, it is recommended to use [`ok_or_else`], which is lazily evaluated.  [`ok_or_else`]: bool::ok_or_else  # Examples  ``` #![feature(bool_to_result)]  assert_eq!(false.ok_or(0), Err(0)); assert_eq!(true.ok_or(0), Ok(())); ```  ``` #![feature(bool_to_result)]  let mut a = 0; let mut function_with_side_effects = || { a += 1; };  assert!(true.ok_or(function_with_side_effects()).is_ok()); assert!(false.ok_or(function_with_side_effects()).is_err());  // `a` is incremented twice because the value passed to `ok_or` is // evaluated eagerly. assert_eq!(a, 2); ```
library/core/src/bool.rs	bool::ok_or_else	impl bool	method	public	safe	false	false	not applicable	false	true	Returns `Ok(())` if the `bool` is [`true`](../std/keyword.true.html), or `Err(f())` otherwise.  # Examples  ``` #![feature(bool_to_result)]  assert_eq!(false.ok_or_else(|| 0), Err(0)); assert_eq!(true.ok_or_else(|| 0), Ok(())); ```  ``` #![feature(bool_to_result)]  let mut a = 0;  assert!(true.ok_or_else(|| { a += 1; }).is_ok()); assert!(false.ok_or_else(|| { a += 1; }).is_err());  // `a` is incremented once because the closure is evaluated lazily by // `ok_or_else`. assert_eq!(a, 1); ```
library/core/src/bool.rs	bool::then	impl bool	method	public	safe	false	false	not applicable	false	true	Returns `Some(f())` if the `bool` is [`true`](../std/keyword.true.html), or `None` otherwise.  # Examples  ``` assert_eq!(false.then(|| 0), None); assert_eq!(true.then(|| 0), Some(0)); ```  ``` let mut a = 0;  true.then(|| { a += 1; }); false.then(|| { a += 1; });  // `a` is incremented once because the closure is evaluated lazily by // `then`. assert_eq!(a, 1); ```
library/core/src/bool.rs	bool::then_some	impl bool	method	public	safe	false	false	not applicable	false	true	Returns `Some(t)` if the `bool` is [`true`](../std/keyword.true.html), or `None` otherwise.  Arguments passed to `then_some` are eagerly evaluated; if you are passing the result of a function call, it is recommended to use [`then`], which is lazily evaluated.  [`then`]: bool::then  # Examples  ``` assert_eq!(false.then_some(0), None); assert_eq!(true.then_some(0), Some(0)); ```  ``` let mut a = 0; let mut function_with_side_effects = || { a += 1; };  true.then_some(function_with_side_effects()); false.then_some(function_with_side_effects());  // `a` is incremented twice because the value passed to `then_some` is // evaluated eagerly. assert_eq!(a, 2); ```
